Movimiento,X,Y
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Down,230.0,100.0
Down,230.0,110.0
Down,230.0,120.0
Down,230.0,130.0
Down,230.0,140.0
Down,230.0,150.0
Down,230.0,160.0
Down,230.0,170.0
Down,230.0,180.0
Down,230.0,190.0
Down,230.0,200.0
Down,230.0,210.0
Down,230.0,220.0
Down,230.0,230.0
Down,230.0,240.0
Up,230.0,230.0
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Down,230.0,100.0
Down,230.0,110.0
Down,230.0,120.0
Down,230.0,130.0
Down,230.0,140.0
Down,230.0,150.0
Down,230.0,160.0
Down,230.0,170.0
Down,230.0,180.0
Down,230.0,190.0
Down,230.0,200.0
Down,230.0,210.0
Down,230.0,220.0
Down,230.0,230.0
Down,230.0,240.0
Down,230.0,250.0
Down,230.0,260.0
Down,230.0,270.0
Down,230.0,280.0
Down,230.0,290.0
Down,230.0,300.0
Down,230.0,310.0
Down,230.0,320.0
Down,230.0,330.0
Down,230.0,340.0
Down,230.0,350.0
Down,230.0,360.0
Down,230.0,370.0
Down,230.0,380.0
Down,230.0,390.0
Down,230.0,400.0
Down,230.0,410.0
Down,230.0,420.0
Down,230.0,430.0
Down,230.0,440.0
Down,230.0,450.0
Down,230.0,460.0
Down,230.0,470.0
Down,230.0,480.0
Down,230.0,490.0
Down,230.0,500.0
Down,230.0,510.0
Down,230.0,520.0
Down,230.0,530.0
Down,230.0,540.0
Down,230.0,550.0
Down,230.0,560.0
Down,230.0,570.0
Down,230.0,580.0
Down,230.0,590.0
Down,230.0,600.0
Down,230.0,610.0
Down,230.0,620.0
Down,230.0,630.0
Down,230.0,640.0
Down,230.0,650.0
Down,230.0,660.0
Down,230.0,670.0
Down,230.0,680.0
Down,230.0,690.0
Down,230.0,700.0
Down,230.0,710.0
Up,230.0,700.0
Up,230.0,690.0
Up,230.0,680.0
Up,230.0,670.0
Up,230.0,660.0
Up,230.0,650.0
Up,230.0,640.0
Up,230.0,630.0
Up,230.0,620.0
Up,230.0,610.0
Up,230.0,600.0
Up,230.0,590.0
Up,230.0,580.0
Up,230.0,570.0
Up,230.0,560.0
Up,230.0,550.0
Up,230.0,540.0
Up,230.0,530.0
Up,230.0,520.0
Up,230.0,510.0
Up,230.0,500.0
Up,230.0,490.0
Up,230.0,480.0
Up,230.0,470.0
Up,230.0,460.0
Up,230.0,450.0
Up,230.0,440.0
Up,230.0,430.0
Up,230.0,420.0
Up,230.0,410.0
Up,230.0,400.0
Up,230.0,390.0
Up,230.0,380.0
Up,230.0,370.0
Up,230.0,360.0
Up,230.0,350.0
Up,230.0,340.0
Up,230.0,330.0
Up,230.0,320.0
Up,230.0,310.0
Up,230.0,300.0
Up,230.0,290.0
Up,230.0,280.0
Up,230.0,270.0
Up,230.0,260.0
Up,230.0,250.0
Up,230.0,240.0
Up,230.0,230.0
Up,230.0,220.0
Up,230.0,210.0
Up,230.0,200.0
Up,230.0,190.0
Up,230.0,180.0
Up,230.0,170.0
Up,230.0,160.0
Up,230.0,150.0
Up,230.0,140.0
Up,230.0,130.0
Up,230.0,120.0
Up,230.0,110.0
Up,230.0,100.0
Up,230.0,90.0
Up,230.0,80.0
Up,230.0,70.0
Up,230.0,60.0
Up,230.0,50.0
Up,230.0,40.0
Up,230.0,30.0
Up,230.0,20.0
Up,230.0,10.0
Up,230.0,0.0
Up,230.0,-10.0
Up,230.0,-20.0
Up,230.0,-30.0
Up,230.0,-40.0
Up,230.0,-50.0
Up,230.0,-60.0
Up,230.0,-70.0
Up,230.0,-80.0
Up,230.0,-90.0
Up,230.0,-100.0
Up,230.0,-110.0
Right,240.0,-110.0
Right,250.0,-110.0
Right,260.0,-110.0
Right,270.0,-110.0
Right,280.0,-110.0
Right,290.0,-110.0
Right,300.0,-110.0
Right,310.0,-110.0
Right,320.0,-110.0
Right,330.0,-110.0
Right,340.0,-110.0
Right,350.0,-110.0
Right,360.0,-110.0
Right,370.0,-110.0
Right,380.0,-110.0
Right,390.0,-110.0
Right,400.0,-110.0
Down,400.0,-100.0
Down,400.0,-90.0
Down,400.0,-80.0
Down,400.0,-70.0
Down,400.0,-60.0
Down,400.0,-50.0
Down,400.0,-40.0
Down,400.0,-30.0
Down,400.0,-20.0
Down,400.0,-10.0
Down,400.0,0.0
Down,400.0,10.0
Down,400.0,20.0
Down,400.0,30.0
Down,400.0,40.0
Down,400.0,50.0
Down,400.0,60.0
Down,400.0,70.0
Down,400.0,80.0
Down,400.0,90.0
Down,400.0,100.0
Down,400.0,110.0
Down,400.0,120.0
Down,400.0,130.0
Down,400.0,140.0
Down,400.0,150.0
Down,400.0,160.0
Down,400.0,170.0
Down,400.0,180.0
Down,400.0,190.0
Down,400.0,200.0
Down,400.0,210.0
Down,400.0,220.0
Down,400.0,230.0
Down,400.0,240.0
Down,400.0,250.0
Down,400.0,260.0
Down,400.0,270.0
Down,400.0,280.0
Down,400.0,290.0
Down,400.0,300.0
Down,400.0,310.0
Left,390.0,310.0
Left,380.0,310.0
Left,370.0,310.0
Left,360.0,310.0
Left,350.0,310.0
Left,340.0,310.0
Left,330.0,310.0
Left,320.0,310.0
Left,310.0,310.0
Left,300.0,310.0
Left,290.0,310.0
Left,280.0,310.0
Left,270.0,310.0
Left,260.0,310.0
Left,250.0,310.0
Left,240.0,310.0
Left,230.0,310.0
Left,220.0,310.0
Left,210.0,310.0
Left,200.0,310.0
Left,190.0,310.0
Left,180.0,310.0
Left,170.0,310.0
Left,160.0,310.0
Left,150.0,310.0
Left,140.0,310.0
Left,130.0,310.0
Left,120.0,310.0
Left,110.0,310.0
Left,100.0,310.0
Left,90.0,310.0
Left,80.0,310.0
Left,70.0,310.0
Left,60.0,310.0
Left,50.0,310.0
Left,40.0,310.0
Left,30.0,310.0
Left,20.0,310.0
Left,10.0,310.0
Left,0.0,310.0
Left,-10.0,310.0
Left,-20.0,310.0
Left,-30.0,310.0
Left,-40.0,310.0
Left,-50.0,310.0
Left,-60.0,310.0
Left,-70.0,310.0
Left,-80.0,310.0
Left,-90.0,310.0
Left,-100.0,310.0
Left,-110.0,310.0
Left,-120.0,310.0
Up,-120.0,300.0
Up,-120.0,290.0
Up,-120.0,280.0
Up,-120.0,270.0
Up,-120.0,260.0
Up,-120.0,250.0
Up,-120.0,240.0
Up,-120.0,230.0
Up,-120.0,220.0
Right,-110.0,220.0
Right,-100.0,220.0
Right,-90.0,220.0
Right,-80.0,220.0
Right,-70.0,220.0
